articleNo,tradeTypeName,price,area1,floorInfo,direction,realEstateTypeName,latitude,longitude
2513903676,월세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513903507,전세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513736302,매매,N/A,149,6/26,남동향,아파트,37.290995,127.052247
2513717916,매매,N/A,156,18/39,남서향,아파트,37.291356,127.054296
2513735943,매매,N/A,155,9/37,남서향,아파트,37.292252,127.056021
2513602135,매매,N/A,156,21/37,남서향,아파트,37.292754,127.053376
2513736451,매매,N/A,149,9/28,남동향,아파트,37.292956,127.0552
2513736973,매매,N/A,130,1/10,남동향,아파트,37.292304,127.052308
2513734640,매매,N/A,156,18/39,남서향,아파트,37.291356,127.054296
2513736133,매매,N/A,156,21/37,남서향,아파트,37.292754,127.053376
2513602330,월세,N/A,155,9/34,남서향,아파트,37.290552,127.055746
2513734811,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2513734414,매매,N/A,149,19/34,남동향,아파트,37.290552,127.055746
2513716634,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2513735105,매매,N/A,149,18/18,남동향,아파트,37.291422,127.053776
2513718261,매매,N/A,156,21/37,남서향,아파트,37.292754,127.053376
2513734591,매매,N/A,155,31/37,남서향,아파트,37.292252,127.056021
2513735101,매매,N/A,156,13/37,남서향,아파트,37.292252,127.056021
2513718587,전세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513734799,매매,N/A,149,11/21,남동향,아파트,37.29125,127.052582
2513599736,월세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513599044,월세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513578464,전세,N/A,176,1/37,남동향,아파트,37.292252,127.056021
2513585794,월세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513583183,매매,N/A,155,22/39,남동향,아파트,37.291356,127.054296
2513584497,매매,N/A,176,20/37,남향,아파트,37.292252,127.056021
2513581265,매매,N/A,155,22/39,남동향,아파트,37.291356,127.054296
2513558408,전세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513548268,전세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513600982,매매,N/A,156,18/39,남서향,아파트,37.291356,127.054296
2513557327,전세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513587005,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2513600821,매매,N/A,149,6/26,남동향,아파트,37.290995,127.052247
2513577743,전세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513588530,월세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513556475,매매,N/A,149,9/28,남동향,아파트,37.292956,127.0552
2513586298,매매,N/A,130,1/10,남동향,아파트,37.292304,127.052308
2513539452,월세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513592814,매매,N/A,130,1/10,남동향,아파트,37.292304,127.052308
