동,가격,매물정보
e편한세상광교 6115동,매매18억,"아파트149A/119m², 9/28층, 남동향
45A . 판상. 막힘없는뷰. 채광G. 컨디션G. 초중근접"
e편한세상광교 6111동,매매18억,"아파트156F/120m², 18/39층, 남서향
47, 로얄동 로얄층, 양창으로 밝고 환한집,세안고"
e편한세상광교 6121동,월세1억/380,"아파트155D/120m², 9/34층, 남서향
47.확 트인 다산공원뷰,학세권,인기타입,산책로 커뮤니티 이용 편리"
e편한세상광교 6108동,"매매16억 5,000","아파트130A/100m², 1/10층, 남동향
39A . 판상. 연무중근접. 넓은드레스룸. 컨디션G. 입지G"
e편한세상광교 6117동,"매매18억 5,000","아파트155D/120m², 31/37층, 남서향
47D . 선호판상. 카페거리근접. 채광G. 컨디션G"
e편한세상광교 6117동,매매18억,"아파트155D/120m², 9/37층, 남서향
47D . 선호판상. 힐링뷰. 커뮤니티근접. 컨디션G"
e편한세상광교 6107동,매매18억,"아파트156F/120m², 21/37층, 남서향
47 남서향,거실 양창형,탁트인뷰,채광 컨디션 굿,관리잘된 주인집"
e편한세상광교 6109동,"매매18억 8,000","아파트149A/119m², 14/35층, 남동향
45A. 선호판상. 채광 입지 굿. 탁 트인 최고의 뷰. 로얄동 로얄층"
e편한세상광교 6107동,매매18억,"아파트156F/120m², 21/37층, 남서향
추천,47F 귀한타입,넓은주방,거실뷰와 양창문 채광최고, 관리잘된집"
e편한세상광교 6119동,전세10억,"아파트136G/101m², 1/37층, 남서향
41, 산의초 바로옆, 풀인테리어굿, 아이키우기 좋은집, 입주일협의"
e편한세상광교 6117동,전세12억,"아파트176A/145m², 1/37층, 남향
슬세권 광교중앙역 역세권 산의초 학세권 대단지 1군브랜드 융자상환조건"
e편한세상광교 6117동,월세7억/200,"아파트176A/145m², 1/37층, 남향
아브뉴프랑 슬세권 광교중앙역 역세권 산의초 학세권 대단지 1군브랜드"
e편한세상광교 6121동,매매19억,"아파트149A/119m², 19/34층, 남동향
45A . 판상. 채광 입지G. 막힘없는 최고뷰. R.R로얄"
e편한세상광교 6117동,매매18억,"아파트156E/120m², 13/37층, 남서향
47E. 카페거리근접. 채광G. 넓은드레스룸. 컨디션G"
e편한세상광교 6101동,매매18억,"아파트149A/119m², 6/26층, 남동향
45A . 판상. 인테리어 . R로얄 .초역세권. 협의가능"
e편한세상광교 6102동,"매매18억 5,000","아파트149A/119m², 11/21층, 남동향
45A . 판상 . 초역세권. 광교중앙역 . R.R 인기동"
e편한세상광교 6107동,매매18억,"아파트156F/120m², 21/37층, 남서향
47F. 양창형. 개방감G. 까페거리근접. 채광G. 연무중근접"
